"date","us_driving","us_transit","us_walking","italy_driving","italy_transit","italy_walking","italy_confirmed_cases","italy_suspected_cases","italy_cured_cases","italy_death_cases","us_confirmed_cases","us_suspected_cases","us_cured_cases","us_death_cases"
"2020-02-01","122.32","103.42","140.8","125.55","107.43","149.16",2,0,0,0,8,0,0,0
"2020-02-02","85.25","80.2","88.42","111.41","106.2","118.22",2,0,0,0,9,0,0,0
"2020-02-03","98.86","96.48","92.42","100.52","98.79","108.19",2,0,0,0,11,0,1,0
"2020-02-04","101.99","97.63","93.82","101.89","99.71","108.79",2,0,0,0,11,0,1,0
"2020-02-05","101.77","98.26","94.52","103.77","98.91","108.09",2,0,0,0,11,0,1,0
"2020-02-06","107.72","101.15","97.6","105.58","103.67","111.82",3,0,0,0,12,0,1,0
"2020-02-07","124.07","110.91","122.23","119.19","114.12","131.64",3,0,0,0,12,0,3,0
"2020-02-08","122.87","107.27","142.94","129.46","117.08","160.32",3,0,0,0,12,0,3,0
"2020-02-09","91.58","84.2","92.83","117.1","113.16","118.67",3,0,0,0,12,0,3,0
"2020-02-10","102.93","98.3","91.94","104.55","108.57","108.86",3,0,0,0,13,0,3,0
"2020-02-11","106.75","100.64","96.13","108.02","109.4","117.98",3,0,0,0,13,0,3,0
"2020-02-12","109.02","102.08","99.84","112.5","110.36","122.37",3,0,0,0,14,0,3,0
"2020-02-13","118.36","106.67","108.3","116.51","117.55","132.34",3,0,0,0,15,0,3,0
"2020-02-14","145.4","119.06","147.82","139.93","127.08","170.85",3,0,0,0,15,0,3,0
"2020-02-15","132.51","107.77","158.55","145.29","130.72","194.34",3,0,0,0,15,0,3,0
"2020-02-16","102.27","91.63","116.26","132.32","125.6","144.17",3,0,0,0,15,0,3,0
"2020-02-17","110.78","101.73","107.52","110.43","119.01","123.94",3,0,0,0,15,0,3,0
"2020-02-18","109.46","104.64","100.23","112.72","118","131.03",3,0,0,0,15,0,3,0
"2020-02-19","110.85","105.16","103.21","118.28","120.44","132.99",3,0,0,0,15,0,3,0
"2020-02-20","114.86","106.16","106.25","120.67","124.06","142.68",3,0,0,0,15,0,3,0
"2020-02-21","135.85","117.14","136.41","135.58","126.36","158.11",3,0,0,0,15,0,3,0
"2020-02-22","134.35","110.65","162.45","139.43","126.83","181.74",79,0,1,2,34,0,3,0
"2020-02-23","99.48","87.27","106.11","114.78","113.18","129.3",157,0,2,3,34,0,3,0
"2020-02-24","106.23","99.21","99.34","98.2","96.25","107.66",232,0,2,7,53,0,3,0
"2020-02-25","110.27","100.12","103.03","92.5","81.28","94.26",323,0,2,11,57,0,3,0
"2020-02-26","112.36","100.52","101.84","89.15","74.29","82.94",470,0,3,12,60,0,3,0
"2020-02-27","118.85","102.98","107.83","90.16","74.11","83.27",653,0,45,17,60,0,3,0
"2020-02-28","139.8","116.02","136.34","97.78","76.73","92.59",653,0,45,17,60,0,3,0
"2020-02-29","138.41","109.92","155.82","100.27","76.34","100.06",1128,0,50,29,64,0,3,1
"2020-03-01","101.04","85.31","102.29","83.48","69.12","65.47",1713,0,83,41,84,0,3,2
"2020-03-02","107.73","98.06","99.2","81.65","67.14","63.94",2084,0,149,52,102,0,3,6
"2020-03-03","112.98","100.26","104.76","85.76","65.83","70.14",2502,0,160,79,122,0,3,9
"2020-03-04","113.05","101.5","104.61","84.99","61.44","71.71",3144,0,276,107,158,0,8,11
"2020-03-05","119.74","103.53","111.67","82.37","59.45","66.63",3927,0,414,148,232,0,8,14
"2020-03-06","139.98","111.5","133.94","84.73","57.32","71.88",4680,0,523,197,345,0,10,17
"2020-03-07","137.37","107.32","155.7","84.19","52","76",6012,0,589,233,445,0,10,19
"2020-03-08","101.64","84.23","107.77","68.71","46.69","51.9",7424,0,622,366,572,0,10,22
"2020-03-09","109.65","97.1","105.33","54.84","37.69","39.86",9220,0,724,463,704,0,10,26
"2020-03-10","111.34","92.48","103.06","37.32","23.02","29.4",10149,0,1004,631,900,0,10,29
"2020-03-11","110.97","89.97","102.34","30.97","19","27.09",12462,0,1045,827,1322,0,15,38
"2020-03-12","108.49","79.08","96.43","23.12","13.06","18.21",15385,0,1258,1016,1762,0,31,41
"2020-03-13","117.01","76.78","105.88","21.55","11.93","18.09",17660,0,1439,1266,2269,0,31,48
"2020-03-14","102.87","64.59","105.24","16.85","10.96","16.08",21157,0,1966,1441,2949,0,49,57
"2020-03-15","76.16","49.93","69.72","15.92","11.13","15.86",24938,0,2335,1809,3774,0,56,69
"2020-03-16","84.09","50.79","69.43","19.58","10.88","15.68",27980,0,2749,2158,4629,0,56,90
"2020-03-17","77.04","43.58","64.05","19.4","10.76","15.33",31506,0,2941,2503,6509,0,106,115
"2020-03-18","72.84","39.63","59.26","19.1","10.22","15.07",31506,0,2941,2503,7087,0,106,116
